 ,gas,electricity,heat_demand
0,0.92749,0.87516,1.33144375
1,0.92749,0.63139,1.41106294
2,0.92749,0.44239,1.4762059
3,0.92749,0.36452,1.48344401
4,0.92749,0.39791,1.48344401
5,0.92749,0.32925,1.4689678
6,0.92749,0.26647,1.4762059
7,0.92749,0.29559,1.59417456
8,0.92749,0.43103,2.10623425
9,0.92749,0.41233,2.06610551
10,0.92749,0.43103,2.02443914
11,0.92749,0.50289,1.96436624
12,0.92749,0.49849,1.86606433
13,0.92749,0.49662,1.89318859
14,0.92749,0.49688,1.96568214
15,0.92749,0.49648,2.00042682
16,0.92749,0.5232,2.01986918
17,0.92749,0.6179,2.02996586
18,0.92749,0.49782,2.06970316
19,0.92749,0.4305,1.54183768
20,0.92749,0.40365,1.55043905
21,0.92749,0.16389,1.55904041
22,0.92749,0.43183,1.44725347
23,0.92749,0.11046,1.45449158
24,0.98729,0.04849,1.45449158
25,0.98729,-0.11647,1.4689678
26,0.98729,-0.14813,1.4762059
27,0.98729,-0.10405,1.48344401
28,0.98729,-0.15668,1.50515833
29,0.98729,0.09737,1.51239644
30,0.98729,0.49675,1.51239644
31,0.98729,0.99684,1.65443678
32,0.98729,1.13883,2.18217221
33,0.98729,1.17462,2.15534173
34,0.98729,1.13228,2.13145849
35,0.98729,1.08379,2.09932583
36,0.98729,1.04412,2.033183
37,0.98729,1.09729,2.0041013
38,0.98729,1.15993,2.05225197
39,0.98729,1.21376,2.09973352
40,0.98729,1.24501,2.14428125
41,0.98729,1.25757,2.19624278
42,0.98729,1.32609,2.20823877
43,0.98729,1.32649,1.67085813
44,0.98729,1.27146,1.67085813
45,0.98729,1.24007,1.6536554
46,0.98729,1.23326,1.54134887
47,0.98729,1.17489,1.5703013
48,1.01416,1.07004,1.58477752
49,1.01416,1.10089,1.60649184
50,1.01416,1.10637,1.59925373
51,1.01416,1.0846,1.59925373
52,1.01416,1.08299,1.58477752
53,1.01416,1.11024,1.58477752
54,1.01416,1.17903,1.59201562
55,1.01416,1.20174,1.74913455
56,1.01416,1.33691,2.28303127
57,1.01416,1.29871,2.17767124
58,1.01416,1.27413,2.11456887
59,1.01416,1.33825,2.05981294
60,1.01416,1.34533,1.97963164
61,1.01416,1.36069,2.00327055
62,1.01416,1.3683,2.05724573
63,1.01416,1.40196,2.14114232
64,1.01416,1.41064,2.15467355
65,1.01416,1.42587,2.15467355
66,1.01416,1.39555,2.18844797
67,1.01416,1.42467,1.62785131
68,1.01416,1.41024,1.61924995
69,1.01416,1.32128,1.61924995
70,1.01416,1.21443,1.48344401
71,1.01416,1.16447,1.48344401
72,1.00382,1.17449,1.49792023
73,1.00382,1.12614,1.48344401
74,1.00382,1.1256,1.51239644
75,1.00382,1.12387,1.4689678
76,1.00382,1.12467,1.49068212
77,1.00382,1.12346,1.51963455
78,1.00382,1.15926,1.58477752
79,1.00382,1.2358,1.70609011
80,1.00382,1.24194,2.24885313
81,1.00382,1.23847,2.11987374
82,1.00382,1.2346,1.95339808
83,1.00382,1.21256,1.88279138
84,1.00382,1.18798,1.89710943
85,1.00382,1.18611,1.9198277
86,1.00382,1.18357,1.91503853
87,1.00382,1.18731,2.02996586
88,1.00382,1.19933,2.09231971
89,1.00382,1.22698,2.14428125
90,1.00382,1.2195,2.22802957
91,1.00382,1.18998,1.67945949
92,1.00382,1.11906,1.73966903
93,1.00382,1.1037,1.7224663
94,1.00382,1.08406,1.54858698
95,1.00382,0.91643,1.52687266
96,1.00382,0.85619,1.54858698
97,1.00382,0.83241,1.51963455
98,1.00382,0.81906,1.5703013
99,1.00382,0.79127,1.49792023
100,1.00382,0.74225,1.50515833
101,1.00382,0.79194,1.44001537
102,1.00382,0.80877,1.4689678
103,1.00382,0.88103,1.46426067
104,1.00382,0.98615,1.44639237
105,1.00382,1.03731,1.29848864
106,1.00382,1.10931,1.25026982
107,1.00382,1.16207,1.11231285
108,1.00382,1.1829,1.05327369
109,1.00382,1.18798,1.0386675
110,1.00382,1.19038,1.19364262
111,1.00382,1.20775,1.28177802
112,1.00382,1.25316,1.36512291
113,1.00382,1.25717,1.37959913
114,1.00382,1.32021,1.4104533
115,1.00382,1.29083,1.45702257
116,1.00382,1.20147,1.47149878
117,1.00382,1.19012,1.5873085
118,1.00382,1.18317,1.6643967
119,1.00382,1.1642,1.72230156
120,0.97531,1.16861,1.67887291
121,0.97531,1.13428,1.75849209
122,0.97531,1.1431,1.84534938
123,0.97531,1.13829,1.77296831
124,0.97531,1.08767,1.71506345
125,0.97531,1.12694,1.78744452
126,0.97531,1.14056,1.87430181
127,0.97531,1.15285,1.85511848
128,0.97531,1.17062,1.81512108
129,0.97531,1.21015,1.66752866
130,0.97531,1.25223,1.35717716
131,0.97531,1.29858,1.41293902
132,0.97531,1.30125,1.29525364
133,0.97531,1.23152,1.29387772
134,0.97531,1.19666,1.34546718
135,0.97531,1.18571,1.48238178
136,0.97531,1.22765,1.49540885
137,0.97531,1.34412,1.50264695
138,0.97531,1.39675,1.47559627
139,0.97531,1.39448,1.52216553
140,0.97531,1.37885,1.51492743
141,0.97531,1.23633,1.46426067
142,0.97531,1.27948,1.48344401
143,0.97531,1.21416,1.45449158
144,0.92694,1.11171,1.41106294
145,0.92694,1.13776,1.41106294
146,0.92694,1.13589,1.39658672
147,0.92694,1.11278,1.280777
148,0.92694,1.11238,1.30972943
149,0.92694,1.13295,1.31696754
150,0.92694,1.24181,1.28801511
151,0.92694,1.41331,1.34451681
152,0.92694,1.48731,1.74950273
153,0.92694,1.49773,1.61406626
154,0.92694,1.47983,1.52420361
155,0.92694,1.44831,1.50940483
156,0.92694,1.41572,1.54267038
157,0.92694,1.38847,1.50466131
158,0.92694,1.3313,1.53174366
159,0.92694,1.20815,1.57155595
160,0.92694,1.20828,1.57604411
161,0.92694,1.21042,1.55684359
162,0.92694,1.13682,1.60272259
163,0.92694,1.05855,1.11890118
164,0.92694,1.04399,1.13481406
165,0.92694,0.92484,1.15868338
