"","s","t","dt","PowerD_demand","HeatD_demand","P_PV_tot","electricity_price"
"0","1","1","1","158.4","69.178753632","0","-0.0132868504714"
"1","1","2","1","156","56.4808656","0","-0.0027498897494001"
"2","1","3","1","156","45.267146292","0","-0.0037778859174001"
"3","1","4","1","156.6","39.165563736","0","-0.0130555513336"
"4","1","5","1","151.2","40.567278648","0","-0.0115392569858"
"5","1","6","1","149.4","39.907648104","1.50828","-0.013877948268"
"6","1","7","1","154.8","41.556724464","15.98754","-0.0129013519084"
"7","1","8","1","141.6","35.78495718","39.1692","-0.0033409875460001"
"8","1","9","1","153.6","33.806065536","86.234199996","-0.0037007862048001"
"9","1","10","1","156.6","27.786936792","120.74420004","-0.0028012895578001"
"10","1","11","1","141","27.209760072","165.86600004","-0.0027498897494001"
"11","1","12","1","148.2","30.9201819","170.76800004","-0.0027498897494001"
"12","1","13","1","135","26.8799448","160.19199996","-0.0020302924318001"
"13","1","14","1","138.6","26.550129516","257.31399996","-0.00069389741340002"
"14","1","15","1","145.2","28.364113524","324.95199996","0.0021844918570001"
"15","1","16","1","146.4","25.80804516","228.36800004","0.060471874582602"
"16","1","17","1","150.6","24.653691696","154.16979996","0.093907449946803"
"17","1","18","1","142.8","24.158968788","68.801199996","0.1182966590326"
"18","1","19","1","133.8","23.334430608","24.707559996","0.1428143676394"
"19","1","20","1","126","27.622029156","2.0592999996","0.141220973579"
"20","1","21","1","124.8","25.725591336","0","0.1265206283766"
"21","1","22","1","127.2","25.5606837","0","0.1156238689958"
"22","1","23","1","124.8","35.290234272","0","0.1181167597032"
"23","1","24","1","126","43.123347012","0","0.089949664700003"
"24","1","25","1","130.8","72.449955588","0","0.1488281452222"
"25","1","26","1","128.4","59.1516324","0","0.1327914050014"
"26","1","27","1","127.8","47.407658664","0","0.1360295929306"
"27","1","28","1","130.2","41.017555308","0","0.1133108776178"
"28","1","29","1","137.4","42.485552028","0","0.1287051202336"
"29","1","30","1","144","41.79473004","0","0.17917973208241"
"30","1","31","1","158.4","43.521785004","58.548459996","0.27005459333361"
"31","1","32","1","166.8","37.477092636","219.17559996","0.36144345266881"
"32","1","33","1","184.2","35.404626684","419.088","0.37516720151161"
"33","1","34","1","179.4","29.100876084","598.37199996","0.37791709126101"
"34","1","35","1","187.2","28.496406852","739.476","0.37421630505621"
"35","1","36","1","195","32.382280512","844.60599996","0.36840812670701"
"36","1","37","1","208.8","28.150995852","877.94000004","0.37105521683961"
"37","1","38","1","213","27.805584864","851.46","0.36946182277921"
"38","1","39","1","200.4","29.705345316","776.034","0.38087258024401"
"39","1","40","1","199.2","27.028410132","640.13199996","0.39922231184281"
"40","1","41","1","175.2","25.819471656","472.554","0.41862573951381"
"41","1","42","1","154.8","25.301355168","278.84799996","0.43689837140001"
"42","1","43","1","146.4","24.437827692","99.0264","0.44908012599081"
"43","1","44","1","134.4","28.928170584","3.5225000004","0.42266062447321"
"44","1","45","1","129.6","26.942057388","0","0.39320853426001"
"45","1","46","1","130.8","26.769351888","0","0.36409054280141"
"46","1","47","1","133.8","36.958976148","0","0.34671740756221"
"47","1","48","1","133.2","45.162487212","0","0.31924420997241"
"48","1","49","1","135","81.434620776","0","0.33412445450421"
"49","1","50","1","134.4","66.487145688","0","0.30839885040001"
"50","1","51","1","135.6","53.28677808","0","0.30521206227921"
"51","1","52","1","131.4","46.104225108","0","0.29554889830001"
"52","1","53","1","142.2","47.754271056","0","0.29202801142461"
"53","1","54","1","149.4","46.977778848","0","0.29881278613341"
"54","1","55","1","171.6","48.91900938","60.44814","0.35702306914641"
"55","1","56","1","174","42.124702524","223.91439996","0.41099286796641"
"56","1","57","1","178.8","39.795225888","419.75199996","0.43476527935141"
"57","1","58","1","180.6","32.709734448","599.08400004","0.43993096009561"
"58","1","59","1","208.2","32.03030376","747.11199996","0.43322328509941"
"59","1","60","1","200.4","36.39807246","840.77799996","0.43558767628581"
"60","1","61","1","194.4","31.642057656","872.55999996","0.42276342409001"
"61","1","62","1","198.6","31.253811552","849.402","0.41353715848221"
"62","1","63","1","193.8","33.389165136","765.05199996","0.41906263788521"
"63","1","64","1","187.2","30.380257812","635.48600004","0.43106449314661"
"64","1","65","1","174.6","29.021396436","465.336","0.42818610387621"
"65","1","66","1","159","28.43902728","275.93199996","0.43874876450241"
"66","1","67","1","143.4","27.468412008","96.5826","0.43414848165061"
"67","1","68","1","139.2","32.515611396","2.36574","0.41374275771581"
"68","1","69","1","131.4","30.28319628","0","0.38452196664041"
"69","1","70","1","124.8","30.089073228","0","0.33664304511581"
"70","1","71","1","126.6","41.542333356","0","0.29367280529341"
"71","1","72","1","128.4","50.76317838","0","0.24070530273721"
"72","1","73","1","124.8","80.137582608","0","0.20788652507381"
"73","1","74","1","127.2","78.971096688","0","0.18162122298141"
"74","1","75","1","124.2","74.88839598","0","0.1027996168"
"75","1","76","1","125.4","64.156725528","0","0.022307516845601"
"76","1","77","1","133.2","61.35715932","0","0.0021844918570001"
"77","1","78","1","141","53.775000852","0","0.028321294428401"
"78","1","79","1","157.2","58.674241704","53.743779996","0.15682081542841"
"79","1","80","1","166.8","51.442029012","213.28599996","0.20354324126401"
"80","1","81","1","183","44.443113504","406.86399996","0.21639319336401"
"81","1","82","1","184.2","43.0433304","374.52","0.21413160179441"
"82","1","83","1","199.2","40.943655744","575.55200004","0.18007922872941"
"83","1","84","1","208.8","43.276627584","822.516","0.20493103609081"
"84","1","85","1","222","41.060304336","861.00800004","0.20788652507381"
"85","1","86","1","238.2","43.276627584","828.77000004","0.20487963628241"
"86","1","87","1","222","37.910792352","743.58999996","0.20616463149241"
"87","1","88","1","199.2","38.260738128","603.17199996","0.20493103609081"
"88","1","89","1","183.6","31.728416988","417.41199996","0.20770662574441"
"89","1","90","1","165.6","32.195011356","220.0872","0.22143037458721"
"90","1","91","1","148.8","30.911876844","67.373799996","0.18575890755761"
"91","1","92","1","145.8","38.96062968","0","0.17118706187621"
"92","1","93","1","140.4","35.111226156","0","0.111023586144"
"93","1","94","1","137.4","37.444197984","0","0.080312200625003"
"94","1","95","1","134.4","50.508840276","0","0.089846865083203"
"95","1","96","1","135.6","53.891649444","0","0.023361212917801"
"96","1","97","1","126.6","70.11017922","0","0.000128499521"
"97","1","98","1","130.2","70.79865888","0","0.00017989932940001"
"98","1","99","1","125.4","62.192663064","0","0.00017989932940001"
"99","1","100","1","129.6","52.553947764","0","0.00030839885040001"
"100","1","101","1","136.8","51.291735036","0","0.0057310786366002"
"101","1","102","1","144","53.930907084","0","0.025879803529401"
"102","1","103","1","171","50.02952232","45.841400004","0.15687221523681"
"103","1","104","1","184.2","41.3087799","207.47439996","0.22407746471981"
"104","1","105","1","239.4","44.865924828","393.43599996","0.24630788185281"
"105","1","106","1","282","47.390350272","573.16599996","0.32266229723101"
"106","1","107","1","253.2","37.636888356","717.426","0.33903313620641"
"107","1","108","1","214.8","38.899101072","813.70400004","0.36768852938941"
"108","1","109","1","200.4","49.685282484","822.65799996","0.36213735008221"
"109","1","110","1","201","44.865924828","738.28599996","0.36642923408361"
"110","1","111","1","190.8","40.161313788","646.05399996","0.38814565313261"
"111","1","112","1","173.4","41.882512956","566.79999996","0.40986207218161"
"112","1","113","1","151.8","37.0631553","450.642","0.44391444524661"
"113","1","114","1","138","38.2106214","249.48399996","0.50037713477402"
"114","1","115","1","208.2","37.98112818","79.9548","0.50030003506142"
"115","1","116","1","201.6","42.22675278","0","0.45740689495162"
"116","1","117","1","129","39.931820568","0","0.42145272897581"
"117","1","118","1","131.4","40.505553624","0","0.39063854384001"
"118","1","119","1","129","54.0456537","0","0.37172341434881"
"119","1","120","1","129","59.668237632","0","0.32638878334001"
"120","1","121","1","131.4","60.765811728","0","0.27552867292821"
"121","1","122","1","130.8","56.87679978","0","0.25982603146201"
"122","1","123","1","132","51.529408344","0","0.24859517332661"
"123","1","124","1","131.4","48.004991268","0","0.21161301118281"
"124","1","125","1","138","46.911206652","0","0.21055931511061"
"125","1","126","1","144.6","48.36958614","0","0.21595629499261"
"126","1","127","1","169.8","45.331295544","43.34358","0.24993156834501"
"127","1","128","1","184.8","40.591562232","204.30800004","0.27372967963421"
"128","1","129","1","189.6","41.685346848","392.316","0.31019784369401"
"129","1","130","1","210","43.872916068","571.54400004","0.30032908048121"
"130","1","131","1","188.4","40.834625484","712.75400004","0.29002341889701"
"131","1","132","1","183","40.834625484","786.37599996","0.29135981391541"
"132","1","133","1","177.6","44.723637432","799.77800004","0.29554889830001"
"133","1","134","1","174.6","47.032738272","776.90799996","0.28213354830761"
"134","1","135","1","169.2","40.834625484","745.43199996","0.30765355317821"
"135","1","136","1","145.2","39.376245996","615.294","0.32338189454861"
"136","1","137","1","133.8","38.16092976","294.61400004","0.35869356291941"
"137","1","138","1","131.4","38.403993012","164.67800004","0.40073860619061"
"138","1","139","1","130.8","36.824081904","57.9408","0.42019343367001"
"139","1","140","1","132.6","42.900663084","2.4518199996","0.37712039423081"
"140","1","141","1","130.8","41.442283596","0","0.35820526473961"
